number_nodes|execution_times|distances|optimal_path
3|0.0|129|[0, 1, 2, 0]
4|0.0|162|[0, 1, 2, 3, 0]
5|0.0|110|[0, 2, 3, 1, 4, 0]
6|0.001001119613647461|173|[0, 3, 4, 1, 5, 2, 0]
7|0.0|218|[0, 3, 4, 1, 6, 2, 5, 0]
8|0.0009989738464355469|151|[0, 1, 3, 4, 6, 7, 2, 5, 0]
9|0.009910106658935547|235|[0, 3, 6, 4, 2, 1, 7, 8, 5, 0]
10|0.01909041404724121|291|[0, 4, 2, 1, 5, 7, 6, 3, 8, 9, 0]
11|0.026799917221069336|242|[0, 7, 3, 1, 8, 10, 5, 6, 2, 4, 9, 0]
12|0.04138541221618652|235|[0, 1, 2, 6, 4, 9, 11, 8, 7, 5, 10, 3, 0]
13|0.08451104164123535|148|[0, 5, 3, 12, 2, 1, 9, 10, 11, 8, 4, 7, 6, 0]
14|0.4911990165710449|213|[0, 11, 8, 13, 7, 3, 1, 2, 9, 10, 12, 6, 4, 5, 0]
15|0.11591410636901855|250|[0, 6, 3, 10, 5, 4, 7, 2, 1, 11, 9, 8, 14, 13, 12, 0]
16|0.9058313369750977|141|[0, 14, 15, 13, 3, 8, 4, 9, 11, 10, 7, 1, 12, 6, 5, 2, 0]
