number_nodes|execution_times|distances|optimal_path
3|0.0|157.60560079436016|[0, 1, 2]
4|0.0|192.70672098616808|[0, 1, 2, 3]
5|0.0|282.86237072414315|[0, 4, 2, 3, 1]
6|0.0|449.2418039251771|[0, 2, 3, 5, 1, 4]
7|0.0|523.3359651664715|[0, 5, 2, 6, 3, 1, 4]
8|0.0|656.6295017027032|[0, 4, 6, 5, 2, 7, 3, 1]
9|0.0|782.7161625822629|[0, 5, 3, 6, 7, 1, 4, 2, 8]
10|0.0|931.4711556058119|[0, 4, 3, 6, 8, 7, 9, 1, 5, 2]
11|0.0|995.189062554882|[0, 7, 9, 4, 3, 1, 6, 10, 2, 5, 8]
12|0.0|1151.049421085129|[0, 2, 10, 3, 5, 11, 6, 7, 8, 1, 4, 9]
13|0.0|1384.3078285244883|[0, 5, 4, 11, 1, 9, 2, 10, 12, 6, 8, 7, 3]
14|0.0|1591.8051982234867|[0, 11, 10, 2, 12, 6, 4, 3, 13, 7, 8, 9, 1, 5]
15|0.0|1678.3260315280627|[0, 11, 1, 4, 7, 12, 14, 13, 3, 8, 9, 2, 10, 6, 5]
16|0.0|1967.3501243535973|[0, 14, 1, 2, 12, 7, 10, 13, 3, 15, 6, 5, 4, 9, 11, 8]
