number_nodes|execution_times|distances|optimal_path
3|9.5367431640625e-06|62.522278072170366|[0, 1, 2, 0]
4|3.337860107421875e-06|87.54844941612416|[0, 1, 2, 3, 0]
5|2.86102294921875e-06|103.54844941612416|[0, 1, 2, 3, 4, 0]
6|2.6226043701171875e-06|123.31872106404677|[0, 1, 2, 3, 4, 5, 0]
7|3.0994415283203125e-06|151.89765687173264|[0, 1, 2, 3, 4, 5, 6, 0]
8|3.814697265625e-06|167.42965696636375|[0, 1, 2, 3, 4, 5, 6, 7, 0]
9|4.291534423828125e-06|173.3723379261096|[0, 1, 2, 3, 4, 5, 6, 7, 8, 0]
10|5.0067901611328125e-06|194.37799284865832|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
11|5.245208740234375e-06|210.08534307953494|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0]
12|6.4373016357421875e-06|225.84594484167252|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
13|6.9141387939453125e-06|241.6466306294995|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0]
14|7.867813110351562e-06|257.4782025338366|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0]
15|8.58306884765625e-06|259.5908287989113|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0]
16|9.5367431640625e-06|284.78003260653844|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
17|1.0967254638671875e-05|316.76900960933926|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0]
18|2.4318695068359375e-05|332.7645639351306|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]
19|1.52587890625e-05|348.76065673471743|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0]
20|5.7220458984375e-05|364.7571957810568|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0]
21|1.9550323486328125e-05|380.754108767538|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0]
