number_nodes|execution_times|distances|optimal_path
3|3.838539123535156e-05|62.522278072170366|[0, 1, 2, 0]
4|3.8623809814453125e-05|87.54844941612416|[0, 1, 2, 3, 0]
5|0.00012755393981933594|103.54844941612416|[0, 1, 2, 3, 4, 0]
6|3.552436828613281e-05|123.31872106404677|[0, 1, 2, 3, 4, 5, 0]
7|4.38690185546875e-05|151.89765687173266|[0, 1, 2, 3, 4, 5, 6, 0]
8|5.221366882324219e-05|167.42965696636378|[0, 1, 2, 3, 4, 5, 6, 7, 0]
9|4.76837158203125e-05|173.3723379261096|[0, 1, 2, 3, 4, 5, 6, 7, 8, 0]
10|4.8160552978515625e-05|194.37799284865835|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
11|6.222724914550781e-05|210.08534307953494|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0]
12|6.031990051269531e-05|225.84594484167255|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
13|6.389617919921875e-05|241.6466306294995|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0]
14|7.939338684082031e-05|257.4782025338366|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0]
15|7.915496826171875e-05|259.59082879891133|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0]
16|9.799003601074219e-05|284.78003260653844|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
17|0.00011277198791503906|316.76900960933926|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0]
18|9.417533874511719e-05|332.7645639351306|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]
19|0.00011038780212402344|348.76065673471743|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0]
20|0.00011229515075683594|364.7571957810568|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0]
21|0.000247955322265625|380.754108767538|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0]
22|0.000152587890625|399.41964209962055|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0]
23|0.00016736984252929688|458.10250051093897|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 22, 21, 14, 15, 16, 17, 18, 19, 20, 0]
24|0.00014734268188476562|458.10250051093897|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 21, 14, 15, 16, 17, 18, 19, 20, 0]
25|0.0001728534698486328|458.10250051093897|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 14, 15, 16, 17, 18, 19, 20, 0]
26|0.00034236907958984375|474.008942763477|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 14, 15, 16, 17, 18, 19, 20, 0]
27|0.00019097328186035156|489.9384622549416|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 14, 15, 16, 17, 18, 19, 20, 0]
28|0.00048089027404785156|505.88348137365256|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 14, 15, 16, 17, 18, 19, 20, 0]
29|0.00024080276489257812|524.754108767538|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 14, 15, 16, 17, 18, 19, 20, 0]
30|0.00023436546325683594|551.5234849143155|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 29, 14, 15, 16, 17, 18, 19, 20, 0]
31|0.0002655982971191406|557.1012798124596|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 14, 15, 16, 17, 18, 19, 20, 0]
32|0.0003619194030761719|573.1012798124596|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 14, 15, 16, 17, 18, 19, 20, 0]
