number_nodes|execution_times|distances|optimal_path
3|1.6927719116210938e-05|62.522278072170366|[0, 1, 2, 0]
4|6.198883056640625e-06|87.54844941612416|[0, 1, 2, 3, 0]
5|3.5762786865234375e-06|103.54844941612416|[0, 1, 2, 3, 4, 0]
6|2.6226043701171875e-06|123.31872106404677|[0, 1, 2, 3, 4, 5, 0]
7|3.0994415283203125e-06|151.89765687173264|[0, 1, 2, 3, 4, 5, 6, 0]
8|2.2172927856445312e-05|167.42965696636375|[0, 1, 2, 3, 4, 5, 6, 7, 0]
9|6.9141387939453125e-06|173.3723379261096|[0, 1, 2, 3, 4, 5, 6, 7, 8, 0]
10|7.3909759521484375e-06|194.37799284865832|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0]
11|9.059906005859375e-06|210.08534307953494|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0]
12|9.059906005859375e-06|225.84594484167252|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
13|1.0967254638671875e-05|241.6466306294995|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0]
14|1.1920928955078125e-05|257.4782025338366|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0]
15|1.8596649169921875e-05|259.5908287989113|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0]
16|1.1444091796875e-05|284.78003260653844|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]
17|1.1682510375976562e-05|316.76900960933926|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0]
18|1.2874603271484375e-05|332.7645639351306|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]
19|1.4066696166992188e-05|348.76065673471743|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0]
20|1.5497207641601562e-05|364.7571957810568|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0]
21|1.5974044799804688e-05|380.754108767538|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0]
22|2.5510787963867188e-05|399.41964209962055|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0]
23|1.8358230590820312e-05|399.6008336071717|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]
24|1.9311904907226562e-05|399.70979761880835|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0]
25|2.1219253540039062e-05|399.70979761880835|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 22, 23, 0]
26|4.1961669921875e-05|406.41157633746127|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 0]
27|2.4080276489257812e-05|485.976890591664|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 0]
28|2.9087066650390625e-05|501.91507600547106|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 0]
29|2.6464462280273438e-05|520.4318695779672|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 28, 0]
30|6.103515625e-05|546.4794513070422|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 28, 29, 0]
31|3.552436828613281e-05|552.0572462051862|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 28, 30, 29, 0]
32|4.267692565917969e-05|569.0975379000971|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 28, 30, 29, 31, 0]
33|3.409385681152344e-05|597.2194055918523|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 28, 30, 29, 31, 32, 0]
34|4.601478576660156e-05|619.5340306334984|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 21, 24, 22, 23, 26, 27, 28, 30, 29, 31, 32, 33, 0]
